,Book_id,True_title,author,title,url,view,similarity,isnotVol,status,Used
1,1,Leicester An Autobiography,"Francis William Lauderdale Adams , Francis Adams",Vol 1-2: Leicester: An Autobiography,/details/leicesteranauto00adamgoog,153,0.838709677,TRUE,Normal,1
2,1,Leicester An Autobiography,"Adams, Francis William Lauderdale, 1862-1893",Vol 1: Leicester : an autobiography,/details/leicesterautobio01adam,333,0.786885246,FALSE,Normal,
0,4,Anne Sherwood Or The Social Institutions Of England,"Aikin-Kortright, Fanny, 1821-1900","Vol 1: Anne Sherwood: or, The social institutions of England",/details/annesherwoodorso01aiki,225,0.846846847,FALSE,Seperate into Volumes,1
1,4,Anne Sherwood Or The Social Institutions Of England,"Aikin-Kortright, Fanny, 1821-1900","Vol 2: Anne Sherwood: or, The social institutions of England",/details/annesherwoodorso02aiki,197,0.846846847,FALSE,Seperate into Volumes,1
2,4,Anne Sherwood Or The Social Institutions Of England,"Aikin-Kortright, Fanny, 1821-1900","Vol 3: Anne Sherwood: or, The social institutions of England",/details/annesherwoodorso03aiki,276,0.846846847,FALSE,Seperate into Volumes,1
0,6,Crichton,Ainsworth William Harrison,Crichton,/details/in.ernet.dli.2015.210055,4,1,TRUE,Normal,
1,6,Crichton,William Harrison Ainsworth,Crichton,/details/crichton01ainsgoog,580,1,TRUE,Normal,
2,6,Crichton,"Ainsworth, William Harrison, 1805-1882",Vol V.3: Crichton,/details/05057673.5734.emory.edu,230,0.64,FALSE,Normal,
3,6,Crichton,"Ainsworth, William Harrison, 1805-1882",Vol V.2: Crichton,/details/05057673.5735.emory.edu,286,0.64,FALSE,Normal,
4,6,Crichton,"Ainsworth, William Harrison, 1805-1882",Crichton,/details/crichtonill00ains,780,1,TRUE,Normal,
5,6,Crichton,"Ainsworth, William Harrison, 1805-1882",Vol v. 2: Crichton,/details/crichton02ains,316,0.615384615,FALSE,Normal,
6,6,Crichton,"Ainsworth, William Harrison, 1805-1882; Browne, Hablot Knight, 1815-1882",Crichton,/details/crichton00ainsrich,703,1,TRUE,Normal,
7,6,Crichton,"Ainsworth, William Harrison, 1805-1882; Browne, Hablot Knight, 1815-1882, illus",Crichton,/details/crichton00ainsgoog,626,1,TRUE,Normal,
8,6,Crichton,"Ainsworth, William Harrison, 1805-1882",Crichton,/details/crichton00ainsuoft,803,1,TRUE,Normal,
9,6,Crichton,"Ainsworth, William Harrison, 1805-1882",Vol 2: Crichton,/details/crichton02ainsuoft,639,0.695652174,FALSE,Normal,
10,6,Crichton,"William Harrison Ainsworth, Hablot Knight Browne",Crichton,/details/crichton00browgoog,573,1,TRUE,Normal,
11,6,Crichton,"Ainsworth, William Harrison, 1805-1882",Vol v. 3: Crichton,/details/crichton03ains,304,0.615384615,FALSE,Normal,
12,6,Crichton,"Ainsworth, William Harrison, 1805-1882",Vol V.1: Crichton,/details/05057673.5736.emory.edu,337,0.64,FALSE,Normal,
13,6,Crichton,"Ainsworth, William Harrison, 1805-1882",Vol v. 1: Crichton,/details/crichton01ains,385,0.615384615,FALSE,Normal,
14,6,Crichton,"Ainsworth, William Harrison, 1805-1882",Vol 3: Crichton,/details/crichton03ainsuoft,760,0.695652174,FALSE,Normal,
15,6,Crichton,"Ainsworth, William Harrison, 1805-1882; Browne, Hablot Knight, 1815-1882",Crichton,/details/crichton04ains,568,1,TRUE,Normal,
16,6,Crichton,"Ainsworth, William Harrison, 1805-1882; Browne, Hablot Knight, 1815-1882, ill",Crichton,/details/crichton00ains,984,1,TRUE,Normal,1
0,7,Guy Fawkes Or The Gunpowder Treason An Historical Romance,"Ainsworth, William Harrison, 1805-1882","Guy Fawkes; or, The gunpowder treason, an historical romance",/details/guyfawkesorgunpo00ainsuoft,1009,0.871794872,TRUE,Normal,
1,7,Guy Fawkes Or The Gunpowder Treason An Historical Romance,"Ainsworth, William Harrison, 1805-1882","Guy Fawkes; or, The gunpowder treason, an historical romance",/details/guyfawkesorgun00ainsuoft,497,0.871794872,TRUE,Normal,
2,7,Guy Fawkes Or The Gunpowder Treason An Historical Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878","Guy Fawkes; or, The gunpowder treason. An historical romance",/details/guyfawkesorgunpo04ains,902,0.888888889,TRUE,Normal,
3,7,Guy Fawkes Or The Gunpowder Treason An Historical Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878, ill; Bentley, Richard, 1794-1871, publisher; Bentley, Samuel, 1785-1868, printer","Vol v. 2: Guy Fawkes, or, The gunpowder treason : an historical romance",/details/guyfawkesorgunpo02ains,371,0.796875,FALSE,Normal,
4,7,Guy Fawkes Or The Gunpowder Treason An Historical Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878, ill; Bentley, Richard, 1794-1871, publisher; Bentley, Samuel, 1785-1868, printer","Vol v. 3: Guy Fawkes, or, The gunpowder treason : an historical romance",/details/guyfawkesorgunpo03ains,488,0.796875,FALSE,Normal,
5,7,Guy Fawkes Or The Gunpowder Treason An Historical Romance,William Harrison Ainsworth,Guy Fawkes: or the gunpowder treason: an historical romance,/details/guyfawkesorgunp01ainsgoog,346,0.862068966,TRUE,Normal,
6,7,Guy Fawkes Or The Gunpowder Treason An Historical Romance,"Ainsworth, William Harrison, 1805-1882","Guy Fawkes : or, the gunpowder treason ; an historical romance",/details/guyfawkesgunpowd00ains,691,0.823529412,TRUE,Normal,
7,7,Guy Fawkes Or The Gunpowder Treason An Historical Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878, ill","Guy Fawkes; or, The gunpowder treason. An historical romance",/details/guyfawkesorgunpo00ains,1140,0.888888889,TRUE,Normal,1
8,7,Guy Fawkes Or The Gunpowder Treason An Historical Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878, ill; Bentley, Richard, 1794-1871, publisher; Bentley, Samuel, 1785-1868, printer","Vol v. 1: Guy Fawkes, or, The gunpowder treason : an historical romance",/details/guyfawkesorgunpo01ains,628,0.796875,FALSE,Normal,
0,10,Merry England Or Nobles And Serfs,WILLIAM HARRISON . AINSWORTH,"Vol 2: Merry England, or, Nobles and serfs",/details/merryenglandorn01ainsgoog,147,0.8,FALSE,Seperate into Volumes,
1,10,Merry England Or Nobles And Serfs,WILLIAM HARRISON . AINSWORTH,"Vol 3: Merry England, or, Nobles and serfs",/details/merryenglandorn00ainsgoog,157,0.8,FALSE,Seperate into Volumes,
2,10,Merry England Or Nobles And Serfs,"Ainsworth, William Harrison, 1805-1882","Vol V.3: Merry England : or, Nobles and serfs",/details/06367524.5699.emory.edu,121,0.769230769,FALSE,Seperate into Volumes,1
3,10,Merry England Or Nobles And Serfs,"Ainsworth, William Harrison, 1805-1882","Vol 1: Merry England: or, Nobles and serfs",/details/merryenglandorno01ains,556,0.8,FALSE,Seperate into Volumes,
4,10,Merry England Or Nobles And Serfs,WILLIAM HARRISON . AINSWORTH,"Vol 1: Merry England, or, Nobles and serfs",/details/merryenglandorn02ainsgoog,148,0.8,FALSE,Seperate into Volumes,
5,10,Merry England Or Nobles And Serfs,"Ainsworth, William Harrison, 1805-1882","Vol 2: Merry England: or, Nobles and serfs",/details/merryenglandorno02ains,368,0.8,FALSE,Seperate into Volumes,
6,10,Merry England Or Nobles And Serfs,"Ainsworth, William Harrison, 1805-1882","Vol V.1: Merry England : or, Nobles and serfs",/details/06367524.5700.emory.edu,161,0.769230769,FALSE,Seperate into Volumes,1
7,10,Merry England Or Nobles And Serfs,"Ainsworth, William Harrison, 1805-1882","Vol V.2: Merry England : or, Nobles and serfs",/details/06367524.5698.emory.edu,137,0.769230769,FALSE,Seperate into Volumes,1
8,10,Merry England Or Nobles And Serfs,"Ainsworth, William Harrison, 1805-1882","Vol 3: Merry England: or, Nobles and serfs",/details/merryenglandorno03ains,421,0.8,FALSE,Seperate into Volumes,
0,9,Jack Sheppard A Romance,"Ainsworth, William Harrison, 1805-1882",Jack Sheppard: A Romance,/details/jacksheppard16215gut,1000,0.978723404,TRUE,Normal,1
1,9,Jack Sheppard A Romance,"Ainsworth, William Harrison, 1805-1882",Jack Sheppard; a romance,/details/jacksheppardroma00ainsuoft,838,0.893617021,TRUE,Normal,
2,9,Jack Sheppard A Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878",Vol v. 1: Jack Sheppard : a romance,/details/jacksheppardroma01ains,456,0.724137931,FALSE,Normal,
3,9,Jack Sheppard A Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878",Vol v. 3: Jack Sheppard : a romance,/details/jacksheppardroma03ains,323,0.724137931,FALSE,Normal,
4,9,Jack Sheppard A Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878",Jack Sheppard; a romance,/details/jacksheppardroma00ainsrich,540,0.893617021,TRUE,Normal,
5,9,Jack Sheppard A Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878",Vol v. 2: Jack Sheppard : a romance,/details/jacksheppardroma02ains,289,0.724137931,FALSE,Normal,
6,9,Jack Sheppard A Romance,"Ainsworth, William Harrison, 1805-1882",Jack Sheppard ; a romance,/details/jacksheppardaro02ainsgoog,282,0.875,TRUE,Normal,
7,9,Jack Sheppard A Romance,"William Harrison Ainsworth, George Cruikshank",Jack Sheppard.: A Romance,/details/jacksheppardaro01cruigoog,174,0.958333333,TRUE,Normal,
8,9,Jack Sheppard A Romance,"William Harrison Ainsworth, George Cruikshank",Jack Sheppard.: A Romance,/details/jacksheppardaro00cruigoog,113,0.958333333,TRUE,Normal,
9,9,Jack Sheppard A Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878, ill",Vol V.3: Jack Sheppard : a romance,/details/03752509.5711.emory.edu,234,0.736842105,FALSE,Normal,
10,9,Jack Sheppard A Romance,"Ainsworth, William Harrison, 1805-1882",Jack Sheppard ; a romance,/details/jacksheppardaro01ainsgoog,422,0.875,TRUE,Normal,
11,9,Jack Sheppard A Romance,"Ainsworth, William Harrison, 1805-1882",Jack Sheppard ; a romance,/details/jacksheppardaro00ainsgoog,518,0.875,TRUE,Normal,
12,9,Jack Sheppard A Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878, ill",Vol V.2: Jack Sheppard : a romance,/details/03752509.5710.emory.edu,239,0.736842105,FALSE,Normal,
13,9,Jack Sheppard A Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878",Jack Sheppard ; a romance,/details/jacksheppardroma00ains,507,0.875,TRUE,Normal,
14,9,Jack Sheppard A Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878, ill",Vol V.1: Jack Sheppard : a romance,/details/03752509.5709.emory.edu,275,0.736842105,FALSE,Normal,
0,12,Rookwood A Romance,"Ainsworth, William Harrison, 1805-1882",Vol V.2: Rookwood : a romance,/details/06536987.5703.emory.edu,195,0.680851064,FALSE,Normal,
1,12,Rookwood A Romance,"Ainsworth, William Harrison, 1805-1882",Vol v. 2: Rookwood : a romance,/details/rookwoodromance02ains,287,0.666666667,FALSE,Normal,
2,12,Rookwood A Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878, ill; Gilbert, John, Sir, 1817-1897, ill",Rookwood; a romance,/details/romancerookwood00ainsrich,1338,0.864864865,TRUE,Normal,1
3,12,Rookwood A Romance,William Harrison Ainsworth,Vol 1: Rookwood: A Romance,/details/rookwoodaromanc03ainsgoog,510,0.818181818,FALSE,Normal,
4,12,Rookwood A Romance,"Ainsworth, William Harrison, 1805-1882",Vol V.1: Rookwood : a romance,/details/06536987.5702.emory.edu,257,0.680851064,FALSE,Normal,
5,12,Rookwood A Romance,William Harrison Ainsworth,Vol 1: Rookwood: A Romance,/details/rookwoodaromanc00ainsgoog,740,0.818181818,FALSE,Normal,
6,12,Rookwood A Romance,"Ainsworth, William Harrison, 1805-1882",Vol v. 1: Rookwood : a romance,/details/rookwoodromance01ains,351,0.666666667,FALSE,Normal,
7,12,Rookwood A Romance,"Ainsworth, William Harrison, 1805-1882",Vol v. 3: Rookwood : a romance,/details/rookwoodromance03ains,349,0.666666667,FALSE,Normal,
8,12,Rookwood A Romance,"Ainsworth, William Harrison, 1805-1882; Brown, J. Barry",Rookwood : a romance,/details/rookwoodromance00ainsrich,575,0.842105263,TRUE,Normal,
9,12,Rookwood A Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878; Gilbert, John, Sir, 1817-1897",Vol 2: Rookwood : a romance,/details/rookwoodaromanc02ainsgoog,881,0.711111111,FALSE,Normal,
10,12,Rookwood A Romance,"Ainsworth, William Harrison, 1805-1882",Vol V.3: Rookwood : a romance,/details/06536987.5704.emory.edu,258,0.680851064,FALSE,Normal,
11,12,Rookwood A Romance,"Ainsworth, William Harrison, 1805-1882",Rookwood; a romance,/details/rookwoodromance00ainsuoft,879,0.864864865,TRUE,Normal,
12,12,Rookwood A Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878; Gilbert, John, Sir, 1817-1897",Rookwood : a romance,/details/rookwoodaromanc01ainsgoog,695,0.842105263,TRUE,Normal,
13,12,Rookwood A Romance,"Ainsworth, William Harrison, 1805-1882; Cruikshank, George, 1792-1878; Gilbert, John, 1817-1897",Rookwood : a romance,/details/rookwoodromance00ains,641,0.842105263,TRUE,Normal,
0,15,The Lancashire Witches A Romance Of Pendle Forest,"Ainsworth, William Harrison, 1805-1882",The Lancashire Witches: A Romance of Pendle Forest,/details/thelancashirewit15493gut,913,0.96969697,TRUE,Normal,
1,15,The Lancashire Witches A Romance Of Pendle Forest,"William Harrison Ainsworth, John Gilbert",The Lancashire Witches: A Romance of Pendle Forest,/details/lancashirewitch00gilbgoog,1113,0.96969697,TRUE,Normal,
2,15,The Lancashire Witches A Romance Of Pendle Forest,"Ainsworth, William Harrison, 1805-1882; Gilbert, John, Sir, 1817-1897, ill","The Lancashire witches, a romance of Pendle forest;",/details/lancashirewitche00ainsrich,1271,0.88,TRUE,Normal,
3,15,The Lancashire Witches A Romance Of Pendle Forest,William Harrison Ainsworth,The Lancashire Witches.: A Romance of Pendle Forest,/details/lancashirewitch03ainsgoog,514,0.96,TRUE,Normal,
4,15,The Lancashire Witches A Romance Of Pendle Forest,"Ainsworth, William Harrison, 1805-1882",Vol V.1: The Lancashire witches : a romance of Pendle forest,/details/05932025.77448.emory.edu,58,0.80733945,FALSE,Normal,
5,15,The Lancashire Witches A Romance Of Pendle Forest,"Ainsworth, William Harrison, 1805-1882",Vol V.3: The Lancashire witches : a romance of Pendle forest,/details/05932025.77446.emory.edu,76,0.80733945,FALSE,Normal,
6,15,The Lancashire Witches A Romance Of Pendle Forest,"Ainsworth, William Harrison, 1805-1882",Vol V.2: The Lancashire witches : a romance of Pendle forest,/details/05932025.77447.emory.edu,72,0.80733945,FALSE,Normal,
7,15,The Lancashire Witches A Romance Of Pendle Forest,William Harrison Ainsworth,The Lancashire Witches: A Romance of Pendle Forest,/details/lancashirewitch02ainsgoog,223,0.96969697,TRUE,Normal,
8,15,The Lancashire Witches A Romance Of Pendle Forest,William Harrison Ainsworth,The Lancashire Witches: A Romance of Pendle Forest,/details/lancashirewitch01ainsgoog,311,0.96969697,TRUE,Normal,
9,15,The Lancashire Witches A Romance Of Pendle Forest,"Ainsworth, William Harrison, 1805-1882; Colburn, Henry, d. 1855, publisher; Whiting, Charles, fl. 1832-1879, bookseller; Zaehnsdorf (Firm), bookseller","Vol v. 2: The Lancashire witches, a romance of Pendle Forest. In three volumes",/details/lancashirewitche02ains,351,0.708661417,FALSE,Normal,
10,15,The Lancashire Witches A Romance Of Pendle Forest,"Ainsworth, William Harrison, 1805-1882","The Lancashire witches, a romance of Pendle Forest. With illus. by Sir John Gilbert",/details/lancashirewitche00ainsuoft,1483,0.681818182,TRUE,Normal,1
11,15,The Lancashire Witches A Romance Of Pendle Forest,"Ainsworth, William Harrison, 1805-1882; Colburn, Henry, d. 1855, publisher; Whiting, Charles, fl. 1832-1879, bookseller; Zaehnsdorf (Firm), bookseller","Vol v. 1: The Lancashire witches, a romance of Pendle Forest. In three volumes",/details/lancashirewitche01ains,408,0.708661417,FALSE,Normal,
12,15,The Lancashire Witches A Romance Of Pendle Forest,"Ainsworth, William Harrison, 1805-1882; Colburn, Henry, d. 1855, publisher; Whiting, Charles, fl. 1832-1879, bookseller; Zaehnsdorf (Firm), bookseller","Vol v. 3: The Lancashire witches, a romance of Pendle Forest. In three volumes",/details/lancashirewitche03ains,495,0.708661417,FALSE,Normal,
0,16,The Leaguer Of Lathom A Tale Of The Civil War In Lancashire,"Ainsworth, William Harrison, 1805-1882",The leaguer of Lathom : a tale of the civil war in Lancashire,/details/06072389.1518.emory.edu,208,0.833333333,TRUE,Normal,
1,16,The Leaguer Of Lathom A Tale Of The Civil War In Lancashire,"Ainsworth, William Harrison, 1805-1882",Vol V.1: The leaguer of Lathom : a tale of the civil war in Lancashire,/details/09997226.5674.emory.edu,158,0.775193798,FALSE,Normal,
2,16,The Leaguer Of Lathom A Tale Of The Civil War In Lancashire,William Harrison Ainsworth,The leaguer of Lathom: A Tale of the Civil War in Lancashire,/details/leaguerlathomat00ainsgoog,190,0.907563025,TRUE,Normal,
3,16,The Leaguer Of Lathom A Tale Of The Civil War In Lancashire,"Ainsworth, William Harrison, 1805-1882",Vol V.2: The leaguer of Lathom : a tale of the civil war in Lancashire,/details/09997226.5673.emory.edu,119,0.775193798,FALSE,Normal,
4,16,The Leaguer Of Lathom A Tale Of The Civil War In Lancashire,"Ainsworth, William Harrison, 1805-1882",Vol V.3: The leaguer of Lathom : a tale of the civil war in Lancashire,/details/09997226.5672.emory.edu,151,0.775193798,FALSE,Normal,
5,16,The Leaguer Of Lathom A Tale Of The Civil War In Lancashire,"Ainsworth, William Harrison, 1805-1882; Tauchnitz, Bernhard","The leaguer of Lathom, a tale of the civil war in Lancashire ..",/details/leagueroflathomt00ainsrich,750,0.819672131,TRUE,Normal,1
6,16,The Leaguer Of Lathom A Tale Of The Civil War In Lancashire,"Ainsworth, William Harrison, 1805-1882; Whiting, Charles, fl. 1832-1879, printer; Tinsley Brothers, publisher",Vol v. 3: The leaguer of Lathom : a tale of the civil war in Lancashire,/details/leagueroflathomt03ains,183,0.769230769,FALSE,Normal,
7,16,The Leaguer Of Lathom A Tale Of The Civil War In Lancashire,"Ainsworth, William Harrison, 1805-1882; Whiting, Charles, fl. 1832-1879, printer; Tinsley Brothers, publisher",Vol v. 1: The leaguer of Lathom : a tale of the civil war in Lancashire,/details/leagueroflathomt01ains,242,0.769230769,FALSE,Normal,
8,16,The Leaguer Of Lathom A Tale Of The Civil War In Lancashire,"Ainsworth, William Harrison, 1805-1882; Whiting, Charles, fl. 1832-1879, printer; Tinsley Brothers, publisher",Vol v. 2: The leaguer of Lathom : a tale of the civil war in Lancashire,/details/leagueroflathomt02ains,192,0.769230769,FALSE,Normal,
0,17,The Spanish Match Or Charles Stuart At Madrid,William Harrison Ainsworth,"The Spanish Match: Or, Charles Stuart at Madrid",/details/spanishmatchorc03ainsgoog,334,0.956521739,TRUE,Normal,
1,17,The Spanish Match Or Charles Stuart At Madrid,William Harrison ( Ainsworth,"The Spanish match, or, Charles Stuart at Madrid",/details/spanishmatchorc01ainsgoog,303,0.913043478,TRUE,Normal,
2,17,The Spanish Match Or Charles Stuart At Madrid,William Harrison Ainsworth,"The Spanish Match; Or, Charles Stuart at Madrid",/details/spanishmatchorc06ainsgoog,168,0.956521739,TRUE,Normal,
3,17,The Spanish Match Or Charles Stuart At Madrid,William Harrison ( Ainsworth,"The Spanish match, or, Charles Stuart at Madrid",/details/spanishmatchorc00ainsgoog,228,0.913043478,TRUE,Normal,
4,17,The Spanish Match Or Charles Stuart At Madrid,William Harrison Ainsworth,"The Spanish Match: Or, Charles Stuart at Madrid",/details/spanishmatchorc05ainsgoog,351,0.956521739,TRUE,Normal,
5,17,The Spanish Match Or Charles Stuart At Madrid,William Harrison ( Ainsworth,"The Spanish match, or, Charles Stuart at Madrid",/details/spanishmatchorc04ainsgoog,237,0.913043478,TRUE,Normal,
6,17,The Spanish Match Or Charles Stuart At Madrid,William Harrison ( Ainsworth,"The Spanish match, or, Charles Stuart at Madrid",/details/spanishmatchorc02ainsgoog,119,0.913043478,TRUE,Normal,
7,17,The Spanish Match Or Charles Stuart At Madrid,"Ainsworth, William Harrison, 1805-1882","The Spanish match, or, Charles Stuart at Madrid",/details/03508352.1513.emory.edu,480,0.913043478,TRUE,Normal,1
8,17,The Spanish Match Or Charles Stuart At Madrid,"Ainsworth, William Harrison, 1805-1882","Vol 1: The Spanish match : or, Charles Stuart at Madrid",/details/spanishmatchorch01ains,681,0.84,FALSE,Normal,
9,17,The Spanish Match Or Charles Stuart At Madrid,"Ainsworth, William Harrison, 1805-1882","Vol 2: The Spanish match : or, Charles Stuart at Madrid",/details/spanishmatchorch02ains,605,0.84,FALSE,Normal,
10,17,The Spanish Match Or Charles Stuart At Madrid,"Ainsworth, William Harrison, 1805-1882","Vol 3: The Spanish match : or, Charles Stuart at Madrid",/details/spanishmatchorch03ains,557,0.84,FALSE,Normal,
0,19,London Legends,John Yonge Akerman,Vol 2: London Legends,/details/londonlegends00akergoog,214,0.8,FALSE,Normal,
1,19,London Legends,"Akerman, John Yonge, 1806-1873",Vol 1: London legends,/details/londonlegends01aker,450,0.742857143,FALSE,Normal,
2,19,London Legends,"Akerman, John Yonge, 1806-1873",Vol 2: London legends,/details/londonlegends02aker,440,0.742857143,FALSE,Normal,
3,19,London Legends,John Yonge Akerman,"London legends, by Paul Pindar",/details/londonlegendsby00akergoog,109,0.590909091,TRUE,Normal,1
0,20,Moods,"Alcott, Louisa May, 1832-1888",Moods,/details/moods28203gut,408,1,TRUE,Normal,
1,20,Moods,"Alcott, Louisa May, 1832-1888",Moods,/details/moodsalcott00alco,819,1,TRUE,Normal,
2,20,Moods,"Alcott, Louisa May, 1832-1888",Moods,/details/moodslouisaalcot00alcorich,750,1,TRUE,Normal,
3,20,Moods,"Alcott, Louisa May, 1832-1888",Moods,/details/moodsalcott00alcouoft,827,1,TRUE,Normal,1
4,20,Moods,"Alcott, Louisa May, 1832-1888",Moods : a novel,/details/moodsnovel1882alco,297,0.5,TRUE,Normal,
5,20,Moods,"Alcott, Louisa May, 1832-1888",Moods : a novel,/details/moodsnovel00alco,407,0.5,TRUE,Normal,
6,20,Moods,"Alcott, Louisa May, 1832-1888",Moods : a novel,/details/moodsnovel00alcorich,516,0.5,TRUE,Normal,
7,20,Moods,"Alcott, Louisa May, 1832-1888",Moods. A novel,/details/moodsnovel00alco_0,39,0.526315789,TRUE,Normal,
0,21,Work A Story Of Experience,"Alcott, Louisa May, 1832-1888",Work: a Story of Experience,/details/workastoryofexpe04770gut,499,0.905660377,TRUE,Normal,
1,21,Work A Story Of Experience,"Alcott, Louisa May, 1832-1888; Eytinge, Solomon, 1833-1905, ill",Work : a story of experience,/details/workstoryofexper1873alco,394,0.814814815,TRUE,Normal,
2,21,Work A Story Of Experience,"Alcott, Louisa May, 1832-1888",Work : a story of experience,/details/workastoryexper00alcogoog,812,0.814814815,TRUE,Normal,1
3,21,Work A Story Of Experience,"Alcott, Louisa May, 1832-1888; Eytinge, Solomon, 1833-1905; Wilmer, Richard Hooker, 1918-, former owner",Work : a story of experience,/details/workstoryofexperi00alco,640,0.814814815,TRUE,Normal,
4,21,Work A Story Of Experience,"Alcott, Louisa May, 1832-1888; Eytinge, Solomon, 1833-1905",Work : a story of experience,/details/workstoryofexper00alcorich,682,0.814814815,TRUE,Normal,
5,21,Work A Story Of Experience,"Alcott, Louisa May, 1832-1888",Work: A story of experience,/details/workstoryofexper00byualco,258,0.867924528,TRUE,Normal,
6,21,Work A Story Of Experience,"Alcott, Louisa May, 1832-1888",Work : a story of experience,/details/workstoryofexper00alcouoft,429,0.814814815,TRUE,Normal,
7,21,Work A Story Of Experience,"Alcott, Louisa May, 1832-1888",Work : a story of experience,/details/workstoryofexper01alcoiala,592,0.814814815,TRUE,Normal,
8,21,Work A Story Of Experience,"Alcott, Louisa May, 1832-1888",Work : a story of experience,/details/workstoryofexper02alcoiala,363,0.814814815,TRUE,Normal,
